Elevation,Slope,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
2870,18,30,5531,184,206,830,Rawah,C7745
2419,34,108,674,113,187,926,Commanche,C4703
2895,5,212,2617,223,228,2658,Rawah,C7745
3115,17,1050,2754,195,204,1727,Commanche,C7700
3249,11,258,1443,191,227,2888,Rawah,C8772
3322,14,190,5704,186,224,757,Rawah,C8771
2997,20,192,1019,249,209,1129,Commanche,C7756
2978,8,162,3746,201,232,1358,Rawah,C7745
2782,7,150,1868,231,230,1822,Rawah,C4744
3006,22,942,3051,243,232,1615,Commanche,C7757
2869,15,360,1578,230,208,2799,Commanche,C7757
2411,15,30,997,244,221,1142,Commanche,C2705
2753,15,30,424,240,237,2659,Commanche,C4704
3033,6,150,1072,228,230,2324,Rawah,C7745
2964,13,503,2866,206,212,1579,Commanche,C4703
2857,15,190,3837,237,239,5549,Rawah,C4744
3236,7,60,2605,230,239,1154,Rawah,C7201
3212,23,391,324,243,232,2951,Neota,C7701
3136,14,342,272,239,215,1682,Rawah,C7201
2614,11,485,1471,220,215,1773,Commanche,C4703
3283,9,537,4320,198,244,1199,Rawah,C7745
3232,10,541,1342,237,229,2270,Rawah,C8771
3313,10,997,1593,206,221,2866,Commanche,C7757
3317,26,531,1554,250,219,1134,Neota,C7757
3163,4,391,5396,219,243,451,Rawah,C7745
3249,8,644,1900,204,228,552,Commanche,C7201
2941,15,134,693,192,215,1884,Commanche,C7700
3287,3,0,4061,219,232,3740,Rawah,C8771
3222,34,67,2455,135,165,2831,Rawah,C8772
2959,10,960,2536,203,222,840,Commanche,C4704
3168,13,277,1302,203,213,342,Commanche,C7700
2738,7,335,2334,226,225,5643,Rawah,C4744
2388,13,242,1222,242,231,1041,Cache,C2703
2715,8,30,1860,202,230,4248,Rawah,C7202
2529,8,390,967,205,228,1376,Cache,C4703
2498,7,42,1749,223,244,859,Commanche,C2705
3126,16,95,3324,246,226,3144,Rawah,C7745
2741,17,210,1739,245,229,2316,Commanche,C4703
2834,10,242,1347,221,219,1998,Commanche,C4704
3041,5,150,6457,227,238,3029,Rawah,C7745
2514,9,30,990,232,224,1739,Commanche,C6102
3250,13,824,2045,196,218,601,Commanche,C7201
3135,6,60,4941,226,228,2764,Rawah,C7202
2656,24,0,1438,243,190,1050,Commanche,C4758
2988,11,124,3215,189,232,1972,Rawah,C7745
2521,21,277,927,237,195,1052,Commanche,C4703
3148,16,256,2535,179,247,466,Commanche,C7756
2668,23,240,2024,164,202,2475,Commanche,C7700
2744,13,120,1116,232,214,2225,Commanche,C7755
3407,7,616,2081,233,233,1583,Rawah,C8703
2926,12,190,4425,237,237,6322,Rawah,C7745
2965,6,573,6049,205,242,5873,Rawah,C7745
3205,7,541,3463,222,225,3486,Rawah,C8772
2580,20,192,918,195,254,1452,Commanche,C2705
3139,9,553,1784,207,223,2672,Commanche,C7756
3188,4,351,4832,209,241,2424,Rawah,C7745
3042,2,297,2605,217,235,947,Rawah,C7202
2155,25,30,1121,184,182,459,Cache,C4703
3185,6,330,1062,211,245,1860,Commanche,C7756
2901,9,0,1365,231,223,2486,Commanche,C7102
2801,17,60,1224,209,203,2987,Commanche,C7700
3049,25,420,1074,170,186,3399,Commanche,C7700
2315,14,395,1082,244,225,424,Cache,C2717
3433,16,376,2362,207,203,2489,Rawah,C8772
3153,20,366,277,250,219,3747,Neota,C7201
3198,12,190,95,187,238,1828,Neota,C7202
2463,20,90,636,164,219,664,Commanche,C6102
2896,5,192,4687,225,230,1606,Rawah,C7202
3201,15,180,3359,238,212,4643,Rawah,C7745
3237,15,671,1719,207,207,2792,Commanche,C7756
3168,6,351,5237,231,232,2619,Rawah,C7745
